date,start_time,end_time,subject,technique,distractions,mood,caffeine_mg,productivity
2026-01-27,06:30,06:55,Physics,Note-taking,3,4,165,3
2026-01-27,10:30,11:45,Physics,Pomodoro,0,3,171,5
2026-01-28,20:00,21:00,Math,Practice Problems,1,5,134,4
2026-01-28,21:00,22:00,Physics,Spaced Repetition,1,3,162,4
2026-01-29,16:15,17:30,Biology,Pomodoro,1,2,75,2
2026-01-29,06:30,07:00,History,Pomodoro,1,4,86,3
2026-01-30,21:30,21:55,Math,Practice Problems,3,3,267,3
2026-01-30,08:45,10:45,CS,Active Recall,1,4,150,4
2026-01-31,09:00,09:30,Physics,Spaced Repetition,0,5,124,5
2026-01-31,14:30,15:15,History,Spaced Repetition,1,3,199,4
2026-02-01,07:45,08:10,CS,Practice Problems,1,4,49,3
2026-02-01,14:30,15:15,Physics,Note-taking,2,5,48,4
2026-02-02,15:00,16:00,Biology,Pomodoro,2,2,79,2
2026-02-02,19:00,20:30,Physics,Pomodoro,2,3,42,2
2026-02-03,16:15,17:30,Physics,Note-taking,0,3,82,4
2026-02-03,15:15,17:15,Math,Pomodoro,2,4,149,3
2026-02-04,19:00,20:15,Physics,Active Recall,1,3,156,4
2026-02-04,07:30,08:30,Physics,Practice Problems,2,5,64,3
2026-02-05,06:45,08:45,Biology,Note-taking,0,5,99,4
2026-02-05,07:00,08:00,CS,Spaced Repetition,3,4,40,4
2026-02-06,21:00,22:00,CS,Pomodoro,2,1,78,2
2026-02-06,19:45,21:15,History,Pomodoro,3,4,178,3
2026-02-07,07:30,09:30,Math,Note-taking,1,3,103,3
2026-02-07,09:15,10:15,Physics,Note-taking,2,1,120,2
2026-02-08,14:45,15:30,CS,Active Recall,2,2,113,3
2026-02-08,09:00,10:00,Math,Pomodoro,1,3,0,4
2026-02-09,14:15,15:45,CS,Spaced Repetition,1,4,177,5
2026-02-09,15:15,17:15,CS,Pomodoro,1,3,158,2
2026-02-10,16:30,17:15,Math,Pomodoro,3,5,41,3
2026-02-10,10:15,12:15,Physics,Pomodoro,0,5,241,4
2026-02-11,07:45,08:15,Math,Note-taking,2,4,157,3
2026-02-11,08:30,09:00,Biology,Practice Problems,2,5,66,4
2026-02-12,10:45,12:15,Physics,Active Recall,1,5,42,5
2026-02-12,08:45,10:15,CS,Spaced Repetition,2,3,60,3
2026-02-13,20:45,21:30,Physics,Practice Problems,1,2,144,2
2026-02-13,09:15,10:45,History,Note-taking,1,2,278,3
2026-02-14,16:00,17:30,CS,Practice Problems,1,4,162,4
2026-02-14,08:45,09:30,Math,Active Recall,0,5,141,5
2026-02-15,09:15,10:30,Physics,Spaced Repetition,2,4,168,5
2026-02-15,16:30,17:45,History,Spaced Repetition,2,5,140,5
2026-02-16,08:15,09:00,Physics,Note-taking,3,4,141,2
2026-02-16,08:00,08:25,Biology,Note-taking,1,3,218,3
2026-02-17,07:30,09:00,Physics,Note-taking,2,4,147,2
2026-02-17,08:45,09:30,Biology,Spaced Repetition,2,5,103,5
2026-02-18,20:30,21:15,Physics,Spaced Repetition,1,3,86,4
2026-02-18,15:30,15:55,Physics,Practice Problems,0,3,116,4
2026-02-19,09:00,09:45,Physics,Spaced Repetition,2,3,193,4
2026-02-19,08:30,08:55,History,Practice Problems,2,3,84,3
2026-02-20,21:15,22:15,Math,Practice Problems,2,3,126,3
2026-02-20,06:00,07:15,CS,Note-taking,0,5,190,4
2026-02-21,19:00,21:00,CS,Note-taking,0,2,106,3
2026-02-21,07:45,08:15,Math,Note-taking,2,2,194,2
2026-02-22,09:30,10:00,Biology,Pomodoro,0,5,97,5
2026-02-22,07:00,08:30,History,Active Recall,1,3,39,4
2026-02-23,20:15,22:15,Math,Note-taking,3,5,163,3
2026-02-23,21:00,22:30,Math,Note-taking,2,3,134,3
2026-02-24,15:45,16:45,History,Active Recall,1,4,114,4
2026-02-24,19:45,20:45,History,Spaced Repetition,2,5,127,5
2026-02-25,16:30,17:15,Biology,Note-taking,1,4,92,4
2026-02-25,19:30,20:00,CS,Active Recall,0,4,123,4
2026-02-26,20:15,21:15,Math,Note-taking,2,2,165,2
2026-02-26,09:30,10:30,CS,Pomodoro,2,4,79,4
2026-02-27,08:00,09:00,Math,Note-taking,2,3,157,3
2026-02-27,14:45,15:10,Math,Note-taking,0,4,165,4
2026-02-28,07:00,07:30,Biology,Pomodoro,1,3,135,3
2026-02-28,08:00,09:30,Physics,Pomodoro,1,2,43,2
2026-03-01,19:00,19:30,CS,Note-taking,1,2,158,2
2026-03-01,15:00,15:30,History,Note-taking,3,3,93,2
2026-03-02,14:30,14:55,Biology,Active Recall,2,4,128,4
2026-03-02,07:15,08:15,Biology,Spaced Repetition,1,4,65,5
2026-03-03,16:30,17:00,Physics,Pomodoro,2,5,219,4
2026-03-03,16:15,16:45,History,Pomodoro,1,3,134,3
2026-03-04,19:45,21:45,Math,Note-taking,2,3,100,3
2026-03-04,15:00,17:00,Physics,Active Recall,1,5,205,5
2026-03-05,09:00,10:00,CS,Active Recall,0,3,207,5
2026-03-05,14:45,16:15,History,Active Recall,3,4,93,5
2026-03-06,07:30,09:30,History,Note-taking,2,5,67,4
2026-03-06,15:15,16:15,Math,Spaced Repetition,0,5,71,5
2026-03-07,20:45,21:30,History,Spaced Repetition,2,3,98,3
2026-03-07,16:45,17:15,Math,Spaced Repetition,3,3,160,4
2026-03-08,09:45,10:30,Biology,Note-taking,1,4,83,4
2026-03-08,19:45,20:45,Physics,Pomodoro,2,2,165,3
2026-03-09,14:30,15:30,History,Note-taking,1,3,150,2
2026-03-09,06:30,08:00,History,Practice Problems,0,5,166,3
2026-03-10,20:45,21:45,Physics,Note-taking,2,3,132,3
2026-03-10,08:15,09:30,Biology,Active Recall,1,5,125,4
2026-03-11,20:15,20:45,Math,Active Recall,0,3,86,3
2026-03-11,16:45,17:15,History,Active Recall,2,3,161,3
2026-03-12,08:00,08:45,Math,Active Recall,0,2,185,3
2026-03-12,08:00,09:00,History,Spaced Repetition,0,3,113,4
2026-03-13,08:30,10:00,Physics,Active Recall,2,3,166,4
2026-03-13,07:45,09:00,Math,Note-taking,1,3,153,2
2026-03-14,16:30,16:55,History,Active Recall,2,3,161,4
2026-03-14,08:30,08:55,History,Practice Problems,2,2,59,2
2026-03-15,21:00,21:45,Math,Spaced Repetition,3,4,138,4
2026-03-15,10:30,12:30,History,Note-taking,3,3,190,4
2026-03-16,15:15,16:15,History,Spaced Repetition,1,2,135,3
